Country,Very important (%),Rather important (%),Not very important (%),Not at all important (%),No answer (%),Don´t know (%)
Algeria,20.3,18.9,22.5,33,4,1.2
Azerbaijan,7.7,17.7,43.3,31.4,0,0
Argentina,8.3,22.4,34.9,32.9,1,0.4
Australia,7.8,35.5,41.1,10.8,4.7,0
Armenia,9.3,23.7,30.2,35.7,0.1,0.9
Brazil,12.5,28.8,29.6,28.4,0.3,0.5
Belarus,8,23.1,47,20.5,0,1.3
Chile,7.4,14.7,40.8,35.9,0.5,0.7
China,10.4,28.3,46.5,7.2,0.9,6.8
Taiwan,6.7,23.3,48.7,19,0.3,1.9
Colombia,9.8,14.7,38.2,36.8,0,0.5
Cyprus,13.3,24.2,32,29.4,0.6,0.6
Ecuador,21.1,26.1,29.2,23.5,0,0
Estonia,5.5,23.3,48,22.7,0.1,0.4
Georgia,10.2,34.8,26.3,28.6,0,0.1
Palestine,16.7,33.5,29.8,18.5,0.1,1.4
Germany,10.1,34.2,42.5,13.1,0,0
Ghana,22.5,25.5,29.9,22.1,0,0
Haiti,17.2,31.4,26.7,23.7,0.3,0.7
Hong Kong,8.8,37.5,44.8,8.2,0.7,0
India,17,26.2,26.8,25.9,0,4.1
Iraq,12.2,29.9,29.1,27.8,0.1,0.8
Japan,23.5,42.6,23.9,2.7,0,7.2
Kazakhstan,11.6,33.3,41.5,13.6,0,0
Jordan,14.5,25.5,25,34.6,0,0.4
South Korea,13.3,41.9,33.6,9.9,1.3,0
Kuwait,31.2,27.6,20.6,14.7,4.5,1.5
Kyrgyzstan,12.3,44.9,31.7,11.1,0,0
Lebanon,20.8,25.8,23.9,23.8,1.8,3.8
Libya,27.7,29.4,20.4,18.4,0.9,3.3
Malaysia,17.8,34.5,37.3,10.3,0,0.1
Mexico,17,28,31.8,23.3,0,0
Morocco,6.2,9.3,22,53.5,6.2,2.8
Netherlands,3.3,36.5,46.3,12.4,0,1.5
New Zealand,7.3,39.7,37.3,10.9,4.8,0
Nigeria,21,28.1,33.4,17.4,0,0
Pakistan,8.6,28.3,32.1,30.3,0.3,0.4
Peru,12.7,21.2,42,21.5,1.2,1.4
Philippines,24.3,39.4,20.2,15.7,0,0.4
Poland,5.3,27.5,44.9,21.8,0,0.5
Qatar,29.2,37.9,20.4,12.2,0,0.4
Romania,5.7,17,38,38.1,0.5,0.7
Russia,6.9,20.2,40.1,30.3,0.6,1.9
Rwanda,21.1,37.3,33,8.6,0,0
Singapore,12.8,41,33.5,12.8,0,0
Slovenia,2,9.9,47,40.8,0.2,0.2
South Africa,21.4,24.2,28.9,23.7,0,1.8
Zimbabwe,20.7,25.5,32.3,21.5,0,0
Spain,5.9,15.8,41,36.5,0.3,0.4
Sweden,17.3,45.3,27.8,8.9,0.6,0.2
Thailand,32,41,19.8,5.2,1.1,0.9
Trinidad and Tobago,15.6,18.8,38,27.1,0,0.4
Tunisia,19.3,20.9,27.4,31.2,0.1,1.2
Turkey,16.1,31.3,32.3,19.2,0.2,0.9
Ukraine,7.4,21.1,42,29.5,0,0
Egypt,31,44,14,11,0,0
United States,11.2,41.8,34.9,11,1.1,0
Uruguay,11.6,17,33.8,36.8,0.5,0.3
Uzbekistan,16.3,28.7,31.2,23.1,0.7,0
Yemen,14.3,29.5,24.7,28.4,0,3.1
